user_id,agency_id
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
1,2
3,2
5,2
7,2
9,2
11,2
13,2
15,2
17,2
19,2
21,2
23,2
25,2
27,2
29,2
31,2
33,2
35,2
37,2
39,2
41,2
43,2
45,2
47,2
49,2
1,3
5,3
10,3
15,3
20,3
25,3
30,3
35,3
40,3
45,3
50,3
2,4
6,4
10,4
14,4
18,4
22,4
26,4
30,4
34,4
38,4
42,4
46,4
50,4
3,5
4,5
5,5
6,5
12,5
13,5
14,5
15,5
25,5
26,5
27,5
28,5
33,5
34,5
35,5
36,5
45,5
46,5
47,5
48,5
